kanji|meaning|onyomi|kunyomi|lesson|bonus
意|mind; meaning|イ(ミ)||15|0
味|flavor; taste|ミ|あじ|15|0
注|to pour; to shed|チュウ|そそ(ぐ)|15|0
夏|summer|カ|なつ|15|0
魚|fish|ギョ|さかな; うお|15|0
寺|temple|ジ|てら; でら|15|0
広|spacious; wide|コウ|ひろ(い)|15|0
転|to roll over|テン|ころ(ぶ)|15|0
借|to borrow|シャク; シャッ|か(りる)|15|0
走|to run|ソウ|はし(る)|15|0
建|to build|ケン|た(てる); た(つ)|15|0
地|ground|チ; ジ||15|0
場|place; area; space|ジョウ|ば|15|0
足|foot; leg|ソク|あし; た(りる)|15|0
通|to pass; to commute|ツウ|とお(る); かよ(う)|15|0
供|companion; offer|キョウ|とも; そな(える)|16|0
世|world; generation|セ; セイ|よ|16|0
界|world|(セ)カイ||16|0
全|all|ゼン|まった(く); すべ(て)|16|0
部|part; section|ブ; ヘ||16|0
始|to begin|シ|はじ(まる); はじ(める)|16|0
週|week|(マイ)シュウ||16|0
以|by means of; compared with|イ(ガイ)||16|0
考|to think; idea|コウ|かんが(える)|16|0
開|to open|カイ|あ(ける); あ(く); ひら(く)|16|0
屋|shop; house|オク|や|16|0
方|direction; person|ホウ|かた; がた|16|0
運|transport; luck|ウン|はこ(ぶ)|16|0
動|to move|ドウ|うご(く)|16|0
教|to teach|キョウ|おし(える)|16|0
室|room|(キョウ)シツ||16|0
歳|year; age|サイ; セイ||17|0
習|to learn|シュウ|なら(う)|17|0
主|main; lord|シュ|おも(に); ぬし|17|0
結|to tie; to join|ケツ; ケッ|むす(ぶ)|17|0
婚|marriage|(ケッ)コン||17|0
集|to gather|シュウ|あつ(める)|17|0
発|to start; to reveal|ハツ; ハッ; パツ||17|0
表|to express; surface|ピョウ; ヒョウ|あらわ(す); おもて|17|0
品|goods; refinement|ヒン|しな; じな|17|0
字|character; letter|(カン)ジ||17|0
活|lively|カツ; カッ||17|0
写|to copy|シャ(シン)|うつ(す)|17|0
